Titre,ABREVIATION,ADRESSE,CP,ARRDT,Téléphone,latitude,longitude
Service du Logement et de l'Urbanisme,SLU,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Service Aménagement et Habitat Centre Sud,SAHCS,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Service Aménagement et Habitat Nord,SAHN,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Direction de l'Urbanisme,DU,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Service des Autorisations d'Urbanisme,SAU,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 33 07 ,43.304155,5.3697314999999435
Service Conseil et Droit d'Urbanisme,SCDU,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Direction de la Stratégie Foncière et du Patrimoine,DSFP,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Service de l'Action Foncière,SAF,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Service Gestion Immobilière et Patrimoniale,SGIP,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Service Études Expertises et Connaissance,SEEC,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Direction des Grands Projets,DGP,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
,,,,,,,
Délégation Générale Architecture et Valorisation des Equipements,DGAVE,1 boulevard de Louvain,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2765511,5.3898927000000185
Direction Expertises Techniques,DET,1 boulevard de Louvain,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2765511,5.3898927000000185
Service Génie Électrique,,1 boulevard de Louvain,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2765511,5.3898927000000185
Service Génie Climatique et Énergie,SGCE,1 boulevard de Louvain,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2765511,5.3898927000000185
Service Gestion de l'Eau,,1 boulevard de Louvain,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2765511,5.3898927000000185
Service Sécurité Contrôle Hygiène,SSCH,1 boulevard de Louvain,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2765511,5.3898927000000185
Directions Études et Grands Projets de Construction,DEGPC,1 boulevard de Louvain,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2765511,5.3898927000000185
Service Monuments et Patrimoine Historique,SMPH,1 boulevard de Louvain,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2765511,5.3898927000000185
Direction Territoriale des Bâtiments Nord,DTB NORD,20 bd Françoise Duparc  31 bd Charles Moretti,13233 Marseille cedex 20,4ème/14ème,04 91 55 11 11 ,,
Direction Territoriale des Bâtiments Sud,DTB Sud,11 bd Dromel  1 place Saint Eugène,13233 Marseille cedex 20,9ème/7ème,04 91 55 11 11 ,,
Direction des Régies,,91 boulevard Camille Flammarion,13233 Marseille cedex 20,4ème,04 91 55 11 11 ,43.30705679999999,5.3941552
Service Manifestations Protocolaires et Sportives,SMPS,91 boulevard Camille Flammarion,13233 Marseille cedex 20,4ème,04 91 55 11 11 ,43.30705679999999,5.3941552
Direction des Sports,DS,4 Rue Léon Paulet,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2696856,5.391185800000017
Service Développement de l'Offre Sportive,SDOS,4 Rue Léon Paulet,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2696856,5.391185800000017
Service Animations et Manifestations Sportives,SAMS,4 Rue Léon Paulet,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2696856,5.391185800000017
,,,,,,,
Délégation Générale Modernisation et Gestion des Ressources,DGMGR,"Hôtel de ville, quai du port",13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.2962979,5.369197399999962
Direction des Finances,DF,39 rue Sylvabelle,13233 Marseille cedex 20,6ème,04 91 55 11 11 ,43.2890664,5.3791356000000405
Service Central d'Enquêtes,SCE,1 rue Nau,13233 Marseille cedex 20,6ème,04 91 55 11 11 ,43.29287590000001,5.38609729999996
Direction  Innovation Numérique et Systèmes d'Information,DINSI,42 avenue Roger Salengro,13233 Marseille cedex 20,3ème,04 91 55 96 00 ,43.3107453,5.373165299999982
Direction de l'Accueil et de la Vie Citoyenne,DAVC,33 rue Jean-François Leca,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.3021569,5.365229099999965
Service Opérations Funéraires,,380 rue Saint Pierre,13233 Marseille cedex 20,5ème,04 91 14 67 00 ,43.2913358,5.410495900000001
Service Allô Mairie,,54 rue Caisserie,13233 Marseille cedex 20,2ème,0 810 813 813,43.29717199999999,5.3668586000000005
Service Bureaux Municipaux de Proximité  Etat Civil,BMDP,33 rue Jean-François Leca,13233 Marseille cedex 20,2ème,0 810 813 813,43.3021569,5.365229099999965
Service des Elections,,33 rue Jean-François Leca,13233 Marseille cedex 20,2ème,0 810 813 813,43.3021569,5.365229099999965
Direction de la Logistique,,189-191 boulevard de la Valbarelle,13233 Marseille cedex 20,11ème,04 91 55 11 11 ,43.2890628,5.454326199999969
Direction Commande Publique,DCP,189-191 boulevard de la Valbarelle,13233 Marseille cedex 20,11ème,04 91 55 11 11 ,43.2890628,5.454326199999969
